"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"262","Kebayang gak sih lu, beberapa presiden di dunia vaksin sinovac. Gak taunya mereka semua jd colossal titan. 

Apakah… https://t.co/PaGLbBNRMK",FALSE,1,NA,2021-01-16 18:41:20,TRUE,NA,"1350513482467196928",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lelesayur",0,FALSE,FALSE,NA,NA
"263","semoga besok besok abis di vaksin, ga jadi titan",FALSE,0,NA,2021-01-16 18:36:41,FALSE,NA,"1350512313850216448",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","noturbbae",0,FALSE,FALSE,NA,NA
"264","suntik titan, vaksin titan, suntik titan, vaksin titan, basi anjg",FALSE,0,NA,2021-01-16 18:11:22,FALSE,NA,"1350505942551392256",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kirssteinn",0,FALSE,FALSE,NA,NA
"265","agak agak bila vaksin covid dah keluar ,kita cucuk vaksin tu jadi titan tak?",FALSE,2,NA,2021-01-16 18:10:36,FALSE,NA,"1350505748921417728",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_hakiminakal",0,FALSE,FALSE,NA,NA
"266","Harap-harap vaksin covid-19 tu tak mengandungi spinal cord beast titan. Mahu Zeke jerit sekali semua jadi pure titan.",FALSE,0,NA,2021-01-16 18:06:25,FALSE,NA,"1350504695920427009",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","IamAlFayyadh",0,FALSE,FALSE,NA,NA
"267","gue ga ngerti knp ayah excited bgt ngomongin di suntik vaksin bisa berubah jadi titan ((sama mahib almas))
jgn bila… https://t.co/mdMaFgwdqf",FALSE,0,NA,2021-01-16 18:02:22,TRUE,NA,"1350503675358134273",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ilegoou",0,FALSE,FALSE,NA,NA
"268","RT @berflovver: bro bro liat bro gw punya meme aot nih bro aaaaa vaksin titan lucu banget bro aaaaa buruan ritwit bro aaaaarrrgghhh",FALSE,0,NA,2021-01-16 18:02:09,FALSE,NA,"1350503622598029312",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ramudengaku_",58,TRUE,FALSE,NA,NA
"269","Mau vaksin tp takut banget jadi titan beneran<U+0001F62D>
Shinzou wo sasageyo.",FALSE,2,NA,2021-01-16 18:00:04,FALSE,NA,"1350503100642037760",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","itstetta",0,FALSE,FALSE,NA,NA
"270","RT @berflovver: bro bro liat bro gw punya meme aot nih bro aaaaa vaksin titan lucu banget bro aaaaa buruan ritwit bro aaaaarrrgghhh",FALSE,0,NA,2021-01-16 17:51:00,FALSE,NA,"1350500816981880832",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Vici0uUuSss",58,TRUE,FALSE,NA,NA
"271","RT @Txtbyreyy: Sesudah gua di suntik vaksin, semoga dapet armor Titan.",FALSE,0,NA,2021-01-16 17:47:41,FALSE,NA,"1350499982307016704",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NurAlim_69",56,TRUE,FALSE,NA,NA
